Id,LinkTypeId,CreationDate,PostId,RelatedPostId
36251,1,2019-09-04T21:17:24.777,3947,714
36443,1,2019-09-18T19:18:12.547,3955,1981
36444,1,2019-09-18T19:18:12.547,3955,3787
36468,1,2019-09-19T19:45:30.723,3959,3674
36469,1,2019-09-19T19:45:30.723,3959,3841
36482,1,2019-09-21T22:40:15.090,3959,3669
36483,1,2019-09-21T22:40:15.090,3959,618
36484,1,2019-09-21T23:07:31.003,3965,3959
36485,1,2019-09-21T23:08:09.007,3959,3965
36497,1,2019-09-22T17:44:47.143,3965,3841
36979,1,2019-10-28T15:03:35.647,3978,3542
36980,1,2019-10-28T15:17:21.893,3978,618
37386,1,2019-12-02T19:17:31.050,567,3959
37387,1,2019-12-02T19:17:31.050,567,3965
37388,1,2019-12-02T21:28:07.197,567,3983
37395,1,2019-12-04T10:25:46.203,3988,3683
37396,1,2019-12-04T10:25:46.203,3988,896
37397,1,2019-12-04T10:25:46.203,3988,108
37398,1,2019-12-04T10:25:46.203,3988,567
37399,1,2019-12-04T10:25:46.203,3988,3623
37400,1,2019-12-04T10:25:46.203,3988,3679
37401,1,2019-12-04T10:25:46.203,3988,91
37402,1,2019-12-04T10:25:46.203,3988,3837
37403,1,2019-12-04T10:25:46.203,3988,618
37404,1,2019-12-04T10:25:46.203,3988,750
37405,1,2019-12-04T10:25:46.203,3988,3717
37406,1,2019-12-04T10:25:46.203,3988,714
37407,1,2019-12-04T10:25:46.203,3988,587
37408,1,2019-12-04T10:25:46.203,3988,346
37409,1,2019-12-04T10:25:46.203,3988,3841
37410,1,2019-12-04T10:25:46.203,3988,3737
37411,1,2019-12-04T10:25:46.203,3988,3944
37412,1,2019-12-04T10:25:46.203,3988,3510
37433,1,2019-12-04T12:31:41.730,3988,3989
37482,1,2019-12-10T19:03:50.877,3993,3983
37515,1,2019-12-17T12:13:25.203,3867,3947
37531,1,2019-12-19T15:27:30.717,3998,3989
37532,1,2019-12-20T15:48:51.370,4001,3998
37548,1,2019-12-23T11:14:26.860,3988,4001
37549,1,2019-12-23T11:14:26.860,3988,3998
37557,1,2019-12-27T21:24:25.137,4003,3627
37567,1,2020-01-01T03:53:12.993,4005,3857
37590,1,2020-01-03T17:31:02.473,4005,3683
37800,1,2020-01-19T11:26:40.723,4018,4013
37807,1,2020-01-20T00:44:03.153,4021,3976
37817,1,2020-01-20T12:44:49.717,4013,3989
37818,1,2020-01-20T12:50:22.607,4013,4018
37850,1,2020-01-23T14:05:49.263,4027,401
37851,1,2020-01-23T14:05:49.263,4027,4003
37852,1,2020-01-23T14:05:49.263,4027,3625
37853,1,2020-01-23T14:05:49.263,4027,3627
38093,1,2020-02-01T16:35:59.947,4031,4027
38318,1,2020-03-06T18:31:21.610,4047,4045
38395,1,2020-03-10T11:19:46.047,4045,4047
39547,1,2020-03-29T14:06:28.640,4051,618
39563,1,2020-04-04T14:11:36.500,4053,3989
39575,1,2020-04-07T15:20:28.230,4053,3988
39588,1,2020-04-08T10:15:44.063,4053,4055
39589,1,2020-04-08T10:19:44.783,3988,4053
39590,1,2020-04-08T10:19:44.783,3988,4055
39663,1,2020-04-30T10:16:16.603,4062,3619
39744,1,2020-05-06T10:15:40.670,4075,4062
39833,1,2020-05-11T18:22:35.597,4082,4068
39834,1,2020-05-11T18:39:06.063,4082,4075
39872,1,2020-05-13T21:42:35.703,4093,739
39982,1,2020-05-18T17:45:23.227,4097,618
39983,1,2020-05-18T17:45:23.227,4097,3717
40027,1,2020-05-23T11:02:10.753,4101,4
40304,1,2020-05-28T06:15:59.450,4107,4069
40310,1,2020-05-28T07:20:08.030,4107,4068
40353,1,2020-06-01T15:04:37.280,4075,4082
40354,1,2020-06-01T15:23:49.160,4116,4069
40355,1,2020-06-01T15:23:49.160,4116,4107
40361,1,2020-06-02T05:17:27.103,4119,4068
40362,1,2020-06-02T05:17:27.103,4119,4075
40372,1,2020-06-02T14:52:11.040,4119,3908
40421,1,2020-06-05T08:26:34.220,3866,2236
40430,1,2020-06-06T09:07:54.100,4075,4068
40465,1,2020-06-08T18:11:39.770,4132,3866
40466,1,2020-06-08T18:11:39.770,4132,2236
40467,1,2020-06-08T18:11:39.770,4132,3826
40468,1,2020-06-08T18:11:39.770,4132,3650
40469,1,2020-06-08T18:11:39.770,4132,1993
40470,1,2020-06-08T18:11:39.770,4132,3445
40471,1,2020-06-08T18:11:39.770,4132,3336
40472,1,2020-06-08T18:11:39.770,4132,3342
40473,1,2020-06-08T18:11:39.770,4132,2099
40474,1,2020-06-08T18:11:39.770,4132,896
40475,1,2020-06-08T18:11:39.770,4132,2234
40476,1,2020-06-08T18:11:39.770,4132,2078
40486,1,2020-06-09T08:46:34.490,2234,896
40489,1,2020-06-09T17:13:37.810,3965,4018
40614,3,2020-06-27T14:37:12.903,2234,896
40660,1,2020-07-02T04:58:40.007,4139,173
40694,1,2020-07-07T11:11:52.170,3980,494
40750,1,2020-07-07T15:08:08.677,3980,4018
40890,1,2020-07-17T00:09:44.360,4146,3867
40893,1,2020-07-17T12:40:24.007,4146,3683
40896,1,2020-07-17T21:06:28.390,3988,3472
40897,1,2020-07-17T21:06:28.390,3988,3867
40898,1,2020-07-17T21:06:28.390,3988,4139
40899,1,2020-07-17T21:06:28.390,3988,3561
40900,1,2020-07-17T21:06:28.390,3988,3947
40901,1,2020-07-17T21:06:28.390,3988,601
40902,1,2020-07-17T21:06:28.390,3988,4119
40926,1,2020-07-22T00:34:43.200,3988,3828
41183,1,2020-07-30T09:08:31.863,4151,4146
41244,1,2020-08-10T00:41:00.690,4152,4151
41245,1,2020-08-13T10:26:50.173,4146,3841
41246,1,2020-08-29T14:31:20.677,4155,494
41247,1,2020-08-29T16:52:56.653,4155,3598
41248,1,2020-08-29T18:03:12.573,4155,3700
41249,1,2020-08-29T19:57:25.860,4159,3989
41537,3,2020-09-12T22:20:23.403,4167,3942
41772,1,2020-10-01T16:05:04.300,4168,3763
41838,1,2020-10-13T20:12:04.447,4178,4173
41877,1,2020-10-19T20:15:59.637,4185,4175
41878,1,2020-10-19T20:17:20.627,4175,4185
41900,1,2020-10-21T00:56:51.107,4185,3627
41901,1,2020-10-21T00:56:51.107,4185,3405
41911,1,2020-10-23T21:52:32.663,4192,4003
41912,1,2020-10-25T03:57:23.510,4194,4155
41923,1,2020-10-25T04:40:34.610,4194,4164
41932,1,2020-10-25T19:53:17.743,4196,487
42076,1,2020-11-02T22:34:45.430,4192,3528
42079,1,2020-11-03T00:32:52.917,4192,3627
42185,1,2020-11-14T09:48:18.277,4211,4200
42351,1,2020-12-28T11:35:24.537,3841,4053
42352,1,2021-01-19T18:03:14.940,4247,4005
44621,1,2021-03-05T13:23:04.817,4258,618
45370,1,2021-04-08T18:50:41.320,618,667
45394,1,2021-04-25T22:36:27.053,4277,3504
45825,1,2021-06-09T15:49:52.610,4287,3683
45844,1,2021-06-18T12:57:58.167,4291,3627
45885,1,2021-07-15T07:18:58.367,3841,3683
45886,1,2021-07-15T07:18:58.367,3841,618
45887,1,2021-07-15T07:18:58.367,3841,3988
45888,1,2021-07-15T07:27:50.813,3988,4132
46240,1,2021-08-07T13:06:05.680,4303,3988
46338,1,2021-09-27T13:29:21.240,618,896
46551,1,2021-10-07T01:45:17.970,4311,3681
48016,1,2022-01-12T15:39:52.633,4324,4247
48332,1,2022-02-24T22:27:37.977,4333,42
48333,1,2022-02-24T22:27:37.977,4333,406
48334,1,2022-02-24T22:27:37.977,4333,3496
48335,1,2022-02-25T00:08:53.377,4333,540
48336,1,2022-02-25T00:08:53.377,4333,3748
48345,1,2022-02-27T13:57:03.820,3988,42
48346,1,2022-02-27T13:57:03.820,3988,406
48347,1,2022-02-27T13:57:03.820,3988,540
48348,1,2022-02-27T13:57:03.820,3988,3496
48349,1,2022-02-27T13:57:03.820,3988,3748
48350,1,2022-02-27T13:57:03.820,3988,4333
48364,1,2022-03-21T08:53:26.630,3988,3319
49223,1,2022-05-17T13:02:34.563,4343,3681
49583,1,2022-06-27T01:55:52.210,4360,3683
49613,1,2022-07-15T09:41:57.693,4367,3683
49772,1,2022-09-13T07:33:51.393,4378,4328
49796,1,2022-09-21T10:57:51.883,4382,601
49797,1,2022-09-21T10:57:51.883,4382,4152
49798,1,2022-09-21T10:57:51.883,4382,3947
49808,1,2022-09-21T13:36:49.590,4382,3627
50146,1,2022-09-29T10:42:56.293,4384,4382
50147,1,2022-09-29T15:45:24.140,4384,156
50148,1,2022-09-29T15:46:00.633,4384,567
50149,1,2022-09-29T15:47:51.827,4384,4053
51268,1,2022-12-02T16:13:42.370,4397,3683
51269,3,2022-12-03T17:11:39.753,4397,3683
51575,1,2023-01-26T15:50:03.103,4422,4324
53313,1,2023-06-07T18:57:45.413,4449,334
53351,1,2023-06-20T19:29:33.793,4453,4450
53649,1,2023-08-22T20:55:19.247,4457,4132
53994,1,2023-10-03T00:53:28.450,4467,4164
54057,1,2023-10-30T19:13:01.443,4476,3803
